objectid,parentid,title,creator,film,source,date,description,subject,timestamp,angle,distance,location,movement,lighting,composition,duration,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
punc-03637,,PUNC-03637,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:37,eye-level,medium shot,interior,mobile; handheld; tracking,,single shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03637/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03637/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03637/tiles/full/300,169/0/default.jpg",A woman walks angrily.,
punc-03640,,PUNC-03640,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:40,dutch,medium shot,interior,mobile; handheld; tracking,,two shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03640/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03640/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03640/tiles/full/300,169/0/default.jpg",A woman glares at a man on the phone.,
punc-03645,,PUNC-03645,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:45,eye-level,close-up,interior,mobile; handheld; pan; tracking,,two shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03645/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03645/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03645/tiles/full/300,169/0/default.jpg",A woman follows a man on the phone.,
punc-03654,,PUNC-03654,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:54,eye-level,close-up,interior,mobile; handheld; pan; tracking,,single shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03654/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03654/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03654/tiles/full/300,169/0/default.jpg",A woman walks around a room.,
punc-03658,,PUNC-03658,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:36:58,eye-level,close-up,interior,mobile; handheld; pan; tracking,,two shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03658/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03658/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03658/tiles/full/300,169/0/default.jpg",A man and a woman talk.,
punc-03725,,PUNC-03725,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:37:25,eye-level,close-up,interior,mobile; handheld; pan; tracking,,two shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03725/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03725/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03725/tiles/full/300,169/0/default.jpg",A woman tries to comfort a man.,
punc-03727,,PUNC-03727,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:37:27,eye-level,medium shot,interior,mobile; handheld; pan,,single shot,long take,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03727/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03727/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03727/tiles/full/300,169/0/default.jpg",A woman stands in a doorway.,
punc-03731,,PUNC-03731,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:37:31,eye-level,close-up,interior,mobile; handheld; tracking,,three shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03731/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03731/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03731/tiles/full/300,169/0/default.jpg",A woman exits a room while another woman stands in the doorway and a man leans over a desk.,
punc-03737,,PUNC-03737,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:37:37,high,medium shot,interior,mobile; handheld; pan; tilt; tracking,,dirty single,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03737/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03737/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03737/tiles/full/300,169/0/default.jpg",A man looks up at another man.,
punc-03740,,PUNC-03740,Paul Thomas Anderson,Punch-Drunk Love,"Director-approved Blu-ray special edition. New York, New York: The Criterion Collection, 2016.",,,,0:37:40,low,medium shot,interior,fixed,,three shot,,,Image;IIIF,,,"This screenshot, captured from a film that is under copyright, is made available on this website under fair use for scholarly purposes.",http://rightsstatements.org/vocab/InC/1.0/,iiif-image,https://digbmc.github.io/pta-manifests/punc/punc-03740/manifest.json,"https://digitalscholarship.brynmawr.edu/pta/punc/punc-03740/tiles/full/1920,1080/0/default.jpg","https://digitalscholarship.brynmawr.edu/pta/punc/punc-03740/tiles/full/300,169/0/default.jpg",Two men talk while a woman looks on.,
